graph_id,node_id,feat_ifc_type_0,feat_ifc_type_1,feat_ifc_type_2,feat_ifc_type_3,feat_ifc_type_4,feat_nominal_diameter_mm,feat_length_m,feat_elevation_m,feat_depth_from_root,feat_is_terminal,feat_betweenness_centrality,label,train_mask,val_mask,test_mask
0,0,1,0,0,0,0,0.0,0.0,0.28107946103749515,0,0,0.0,-1,False,False,False
0,1,0,1,0,0,0,0.29116607404462913,0.39382715409275004,-0.9523426705210462,1,0,0.2,-1,False,False,False
0,2,0,0,1,0,0,0.1744829082581222,0.0,-0.8670221841098511,2,0,0.30000000000000004,-1,False,False,False
0,3,0,1,0,0,0,0.23264387767749628,0.0948594786153352,-0.9708715556534947,3,0,0.30000000000000004,-1,False,False,False
0,4,0,1,0,0,0,0.1744829082581222,0.05970552294960709,-1.0401044700159239,4,0,0.2,-1,False,False,False
0,5,0,0,0,1,0,0.0,0.0,-1.1439538415595674,5,1,0.0,1,True,False,False
1,0,1,0,0,0,0,0.0,0.0,0.6157457566005837,0,0,0.0,-1,False,False,False
1,1,0,1,0,0,0,0.2908048470968704,0.005526453785625224,0.5984375280099765,1,0,0.026315789473684213,-1,False,False,False
1,2,0,0,1,0,0,0.23264387767749628,0.0,2.2484589621994586,2,0,0.05120910384068279,-1,False,False,False
1,3,0,1,0,0,0,0.23264387767749628,0.11695698843126828,2.1446095906558145,3,0,0.004267425320056899,-1,False,False,False
1,4,0,1,0,0,0,0.15716735278956187,0.047585755762960084,2.0753766762933856,4,0,0.002844950213371266,-1,False,False,False
1,5,0,0,0,1,0,0.0,0.0,1.971527304749742,5,1,0.0,0,False,True,False
1,6,0,1,0,0,0,0.2215143187012403,0.16243689128862146,2.1446095906558145,3,0,0.004267425320056899,-1,False,False,False
1,7,0,1,0,0,0,0.1744829082581222,0.05108192667991475,2.0753766762933856,4,0,0.002844950213371266,-1,False,False,False
1,8,0,0,0,1,0,0.0,0.0,1.971527304749742,5,1,0.0,0,False,True,False
1,9,0,1,0,0,0,0.23264387767749628,0.27111886793150025,2.1446095906558145,3,0,0.004267425320056899,-1,False,False,False
1,10,0,1,0,0,0,0.1744829082581222,0.05820086926109499,2.0753766762933856,4,0,0.002844950213371266,-1,False,False,False
1,11,0,0,0,1,0,0.0,0.0,1.971527304749742,5,1,0.0,0,False,True,False
1,12,0,1,0,0,0,0.23264387767749628,0.2833937514692541,1.3609017651524062,3,0,0.05547652916073969,-1,False,False,False
1,13,0,0,1,0,0,0.23264387767749628,0.0,1.209965246763022,4,0,0.07112375533428165,-1,False,False,False
1,14,0,1,0,0,0,0.23264387767749628,0.10687666210485247,1.106115875219378,5,0,0.007112375533428165,-1,False,False,False
1,15,0,1,0,0,0,0.1744829082581222,0.05868264353469684,1.0368829608569492,6,0,0.004267425320056899,-1,False,False,False
1,16,0,0,0,1,0,0.0,0.0,0.9330335893133054,7,1,0.0,0,False,True,False
1,17,0,1,0,0,0,0.24337468320303687,0.19045156810937922,1.106115875219378,5,0,0.007112375533428165,-1,False,False,False
1,18,0,1,0,0,0,0.16757356856246894,0.05762979388353163,1.0368829608569492,6,0,0.004267425320056899,-1,False,False,False
1,19,0,0,0,1,0,0.0,0.0,0.9330335893133054,7,1,0.0,0,False,True,False
1,20,0,1,0,0,0,0.23264387767749628,0.20426650315747594,1.106115875219378,5,0,0.007112375533428165,-1,False,False,False
1,21,0,1,0,0,0,0.1744829082581222,0.054734938560626674,1.0368829608569492,6,0,0.004267425320056899,-1,False,False,False
1,22,0,0,0,1,0,0.0,0.0,0.9330335893133054,7,1,0.0,0,False,True,False
1,23,0,1,0,0,0,0.23264387767749628,0.33507356240826786,0.16055272332593423,5,0,0.05334281650071124,-1,False,False,False
1,24,0,0,1,0,0,0.21421664178193037,0.0,0.17147153132658546,6,0,0.05974395448079659,-1,False,False,False
1,25,0,1,0,0,0,0.23264387767749628,0.09617636386742541,0.06762215978294188,7,0,0.00995732574679943,-1,False,False,False
1,26,0,1,0,0,0,0.1744829082581222,0.059223413000961025,-0.001610754579487283,8,0,0.005689900426742532,-1,False,False,False
1,27,0,0,0,1,0,0.0,0.0,-0.10546012612313088,9,1,0.0,1,False,True,False
1,28,0,1,0,0,0,0.23264387767749628,0.1543407021787115,0.06762215978294188,7,0,0.00995732574679943,-1,False,False,False
1,29,0,1,0,0,0,0.15895245597178032,0.05212476846009128,-0.001610754579487283,8,0,0.005689900426742532,-1,False,False,False
1,30,0,0,0,1,0,0.0,0.0,-0.10546012612313088,9,1,0.0,1,False,True,False
1,31,0,1,0,0,0,0.23264387767749628,0.3403713003376578,-0.894532908491585,7,0,0.03485064011379801,-1,False,False,False
1,32,0,0,1,0,0,0.23264387767749628,0.0,-0.8670221841098511,8,0,0.034139402560455195,-1,False,False,False
