graph_id,src_id,dst_id,feat_length_m,feat_nominal_diameter_mm,feat_fitting_loss_factor
0,0,1,0.0,0.29116607404462913,0.0
0,1,2,0.39382715409275004,0.29116607404462913,0.0
0,2,3,0.0,0.1744829082581222,1.7630590327400015
0,3,4,0.0948594786153352,0.23264387767749628,0.0
0,4,5,0.05970552294960709,0.1744829082581222,0.0
1,0,1,0.0,0.2908048470968704,0.0
1,1,2,0.005526453785625224,0.2908048470968704,0.0
1,2,3,0.0,0.23264387767749628,1.7559393866171318
1,2,6,0.0,0.23264387767749628,1.7559393866171318
1,2,9,0.0,0.23264387767749628,1.7559393866171318
1,2,12,0.0,0.23264387767749628,1.7559393866171318
1,3,4,0.11695698843126828,0.23264387767749628,0.0
1,4,5,0.047585755762960084,0.15716735278956187,0.0
1,6,7,0.16243689128862146,0.2215143187012403,0.0
1,7,8,0.05108192667991475,0.1744829082581222,0.0
1,9,10,0.27111886793150025,0.23264387767749628,0.0
1,10,11,0.05820086926109499,0.1744829082581222,0.0
1,12,13,0.2833937514692541,0.23264387767749628,0.0
1,13,14,0.0,0.23264387767749628,1.967618316697629
1,13,17,0.0,0.23264387767749628,1.967618316697629
1,13,20,0.0,0.23264387767749628,1.967618316697629
1,13,23,0.0,0.23264387767749628,1.967618316697629
1,14,15,0.10687666210485247,0.23264387767749628,0.0
1,15,16,0.05868264353469684,0.1744829082581222,0.0
1,17,18,0.19045156810937922,0.24337468320303687,0.0
1,18,19,0.05762979388353163,0.16757356856246894,0.0
1,20,21,0.20426650315747594,0.23264387767749628,0.0
1,21,22,0.054734938560626674,0.1744829082581222,0.0
1,23,24,0.33507356240826786,0.23264387767749628,0.0
1,24,25,0.0,0.21421664178193037,1.7556939659370572
1,24,28,0.0,0.21421664178193037,1.7556939659370572
1,24,31,0.0,0.21421664178193037,1.7556939659370572
1,25,26,0.09617636386742541,0.23264387767749628,0.0
1,26,27,0.059223413000961025,0.1744829082581222,0.0
1,28,29,0.1543407021787115,0.23264387767749628,0.0
1,29,30,0.05212476846009128,0.15895245597178032,0.0
1,31,32,0.3403713003376578,0.23264387767749628,0.0
1,32,33,0.0,0.23264387767749628,1.939027875385847
1,32,36,0.0,0.23264387767749628,1.939027875385847
1,33,34,0.12486517004662503,0.23264387767749628,0.0
1,34,35,0.057641440075628575,0.1744829082581222,0.0
1,36,37,0.19343568055578353,0.23264387767749628,0.0
1,37,38,0.05423665139889035,0.1744829082581222,0.0
2,0,1,0.0,0.7560926024518629,0.0
2,1,2,1.0,0.7560926024518629,0.0
2,2,3,0.0,0.46528775535499256,1.7313474595204308
2,2,6,0.0,0.46528775535499256,1.7313474595204308
2,3,4,0.1200459837658262,0.46528775535499256,0.0
2,4,5,0.050352791263049736,0.37223020428399406,0.0
2,6,7,0.1676919866895798,0.46528775535499256,0.0
2,7,8,0.053073172215854836,0.37223020428399406,0.0
3,0,1,0.0,0.37223020428399406,0.0
3,1,2,0.6937184218490201,0.37223020428399406,0.0
3,2,3,0.0,0.2908048470968704,1.5782087096705395
3,2,6,0.0,0.2908048470968704,1.5782087096705395
3,2,9,0.0,0.2908048470968704,1.5782087096705395
3,2,12,0.0,0.2908048470968704,1.5782087096705395
3,3,4,0.11063399048554015,0.2908048470968704,0.0
3,4,5,0.06405541262979564,0.1744829082581222,0.0
3,6,7,0.15865001852746902,0.26972428461023135,0.0
3,7,8,0.05443809862821998,0.1744829082581222,0.0
3,9,10,0.22240448014597664,0.2908048470968704,0.0
3,10,11,0.06862407908157905,0.1744829082581222,0.0
3,12,13,0.3108033259021531,0.2644391712743906,0.0
3,13,14,0.0,0.2908048470968704,1.7183683115917223
3,13,17,0.0,0.2908048470968704,1.7183683115917223
3,13,20,0.0,0.2908048470968704,1.7183683115917223
3,13,23,0.0,0.2908048470968704,1.7183683115917223
3,14,15,0.11522817185762922,0.2908048470968704,0.0
3,15,16,0.054192694551396414,0.1744829082581222,0.0
3,17,18,0.18357338313796784,0.2908048470968704,0.0
3,18,19,0.04454764896117732,0.1744829082581222,0.0
3,20,21,0.24589738332758146,0.2908048470968704,0.0
3,21,22,0.05195303227504025,0.1744829082581222,0.0
3,23,24,0.3548943829306641,0.2908048470968704,0.0
3,24,25,0.0,0.2908048470968704,1.6516773207318296
3,24,28,0.0,0.2908048470968704,1.6516773207318296
3,24,31,0.0,0.2908048470968704,1.6516773207318296
3,25,26,0.10239396342791916,0.2908048470968704,0.0
3,26,27,0.05207699057517617,0.1744829082581222,0.0
